,Beer,Number of Reviews,Rating,ABV,Brewery,Style
70,Hunahpu's Imperial Stout,"4,334",4.57,11.0,Cigar City Brewing,American Imperial Stout
71,Focal Banger,"3,880",4.57,7.0,The Alchemist,New England IPA
72,Black Tuesday - Reserve,248,4.6,20.5,The Bruery,American Imperial Stout
73,Haze,"2,794",4.57,8.2,Tree House Brewing Company,New England IPA
74,The Peach,242,4.6,7.3,de Garde Brewing,American Wild Ale
75,Kaggen! Stormaktsporter,184,4.61,10.0,Närke Kulturbryggeri AB,Russian Imperial Stout
76,Pugachev Royale,298,4.59,14.8,Hangar 24 Brewing,Russian Imperial Stout
77,Pseudo Sue - Double Dry-Hopped,"1,017",4.57,5.8,Toppling Goliath Brewing Company,American Pale Ale (APA)
78,Coffee Cinnamon B-Bomb,966,4.57,13.0,Fremont Brewing Company,Winter Warmer
79,Drie Fonteinen Oude Geuze Vintage,793,4.57,6.0,Brouwerij 3 Fonteinen,Belgian Gueuze
80,Sip Of Sunshine,"5,615",4.56,8.0,Lawson's Finest Liquids,American Imperial IPA
81,Citra,"1,792",4.56,8.0,Kern River Brewing Company,American Imperial IPA
82,Galaxy Dry Hopped Fort Point Pale Ale,"1,696",4.56,6.6,Trillium Brewing Company,American Pale Ale (APA)
83,4th Anniversary Quadruple Dry Hopped Imperial India Pale Ale,176,4.6,10.0,Other Half Brewing Co.,New England IPA
84,Mexican Brunch,517,4.57,9.2,Kane Brewing Company,American Imperial Porter
85,West Ashley,"1,108",4.56,7.3,Sante Adairius Rustic Ales,American Wild Ale
86,Ephraim,"1,054",4.56,10.0,Hill Farmstead Brewery,New England IPA
87,3rd Anniversary Imperial IPA,285,4.58,10.0,Other Half Brewing Co.,New England IPA
88,Bourbon Barrel Aged Dark Lord Imperial Stout,917,4.56,15.0,3 Floyds Brewing Co.,Russian Imperial Stout
89,Miami Madness,420,4.57,5.5,J. Wakefield Brewing,Berliner Weisse
90,Saison Du Fermier,783,4.56,7.0,Side Project Brewing,Belgian Saison
91,Sunday Brunch,766,4.56,9.2,Kane Brewing Company,American Imperial Porter
92,Black Gold,743,4.56,11.0,Central Waters Brewing Co.,American Imperial Stout
93,Supplication,"6,553",4.55,7.0,Russian River Brewing Company,American Wild Ale
94,Beyond Good And Evil,649,4.56,6.0,Hill Farmstead Brewery,American Imperial Stout
95,Alter Ego,"2,420",4.55,6.8,Tree House Brewing Company,New England IPA
96,Fourth Dementia - Bourbon Barrel-Aged,"1,968",4.55,13.5,Kuhnhenn Brewing Company,English Old Ale
97,The Rusty Nail,552,4.56,12.7,Fremont Brewing Company,American Imperial Stout
98,Mexican Cake - Maple Bourbon Barrel-Aged,92,4.63,10.2,Westbrook Brewing Co.,American Imperial Stout
99,Scaled Way Up,489,4.56,8.0,Trillium Brewing Company,New England IPA
100,Double Shot,"1,020",4.55,7.6,Tree House Brewing Company,American Stout
101,Last Buffalo In The Park,810,4.55,11.5,Funky Buddha Brewery,American Imperial Porter
102,Hold On To Sunshine,393,4.56,7.6,Tree House Brewing Company,English Sweet / Milk Stout
103,Leaner,154,4.59,8.0,Casey Brewing & Blending,Belgian Saison
104,Black Note Stout,"4,851",4.54,11.2,Bell's Brewery - Eccentric Café & General Store,American Imperial Stout
105,Black Tuesday,"4,062",4.54,19.5,The Bruery,American Imperial Stout
106,Cantillon Saint Lamvinus,"2,192",4.54,5.0,Brasserie Cantillon,Belgian Fruit Lambic
107,Double Dry Hopped Double Mosaic Dream,523,4.55,8.5,Other Half Brewing Co.,New England IPA
108,Society & Solitude #5,"1,557",4.54,8.1,Hill Farmstead Brewery,New England IPA
109,Double Nelson,295,4.56,8.0,Hill Farmstead Brewery,New England IPA
110,In Perpetuity,963,4.54,6.7,Tree House Brewing Company,New England IPA
111,Double Dry Hopped Mylar Bags,416,4.55,8.5,Other Half Brewing Co.,New England IPA
112,Parabajava,866,4.54,14.0,Firestone Walker Brewing Co.,Russian Imperial Stout
113,Notorious Triple IPA,844,4.54,12.0,Boneyard Beer Company,American Imperial IPA
114,Double Dry Hopped Double Mosaic Daydream,367,4.55,8.5,Other Half Brewing Co.,New England IPA
115,Bourbon Barrel Aged Plead The 5th,"3,296",4.53,12.0,Dark Horse Brewing Company,Russian Imperial Stout
116,Chocolate Rain,"2,795",4.53,19.6,The Bruery,American Imperial Stout
117,Cutting Tiles (Mosaic),"1,306",4.53,8.5,Trillium Brewing Company,New England IPA
118,A Deal With The Devil,"1,078",4.53,17.3,Anchorage Brewing Company,American Barleywine
119,Imperial German Chocolate Cupcake Stout,204,4.56,11.5,Angry Chair Brewing,American Imperial Stout
120,Wide Awake It's Morning,956,4.53,10.0,Funky Buddha Brewery,American Imperial Porter
121,Great,714,4.53,14.0,Alpine Beer Company,American Barleywine
122,§ucaba,"5,317",4.52,12.5,Firestone Walker Brewing Co.,British Barleywine
123,Pirate Bomb!,"2,294",4.52,15.0,Prairie Artisan Ales,American Imperial Stout
124,Speedway Stout - Bourbon Barrel-Aged,"2,243",4.52,12.0,AleSmith Brewing Company,American Imperial Stout
125,Grey Monday,"1,855",4.52,19.9,The Bruery,American Imperial Stout
126,Double Stack,532,4.53,11.0,Great Notion Brewing,American Imperial Stout
127,"Somewhere, Something Incredible Is Waiting To Be Known",298,4.54,7.9,Tree House Brewing Company,English Sweet / Milk Stout
128,Society & Solitude #6,925,4.52,8.1,Hill Farmstead Brewery,New England IPA
129,Citraquench'l,265,4.54,7.1,Heist Brewery,New England IPA
130,Montmorency Vs Balaton,834,4.52,6.7,Jester King Brewery,American Wild Ale
131,Cantillon Blåbær Lambik,832,4.52,5.0,Brasserie Cantillon,Belgian Fruit Lambic
132,Bourbon Barrel Aged Dark Star: Coffee Edition,778,4.52,13.1,Fremont Brewing Company,English Oatmeal Stout
133,Drie Fonteinen Framboos,753,4.52,5.0,Brouwerij 3 Fonteinen,Belgian Fruit Lambic
134,Breakfast Stout,"17,333",4.51,8.3,Founders Brewing Company,American Imperial Stout
